Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time
2186,1,9825,115183,115184
4711,1,9912,115097,115098
511,221,560,124230,124451
805,221,755,124036,124257
8643,2,8002,117010,117012
6452,2,8022,116992,116994
8119,2,8027,116989,116991
9877,2,8074,116944,116946
9575,2,8133,116887,116889
4876,2,8194,116828,116830
5425,2,8233,116791,116793
1609,2,8328,116698,116700
2918,2,8438,116590,116592
4920,2,8586,116444,116446
9831,2,8633,116399,116401
7495,2,8844,116190,116192
3472,2,8877,116159,116161
3518,2,8892,116146,116148
2812,2,8936,116104,116106
3895,2,8970,116072,116074
9057,2,9134,115910,115912
6202,2,9236,115810,115812
5852,2,9268,115780,115782
6291,2,9281,115769,115771
7994,2,9282,115770,115772
9003,2,9283,115771,115773
9875,2,9424,115632,115634
8665,2,9455,115603,115605
4480,2,9462,115598,115600
4425,2,9474,115588,115590
3017,2,9478,115586,115588
8833,2,9565,115501,115503
4062,2,9579,115489,115491
9312,2,9601,115469,115471
9763,2,9683,115389,115391
6087,2,9717,115357,115359
6220,2,9719,115357,115359
1132,2,9728,115350,115352
8545,2,9734,115346,115348
3651,2,9795,115287,115289
2718,2,9876,115208,115210
5770,2,9894,115192,115194
815,222,104,124764,124986
598,222,142,124728,124950
728,222,435,124437,124659
835,222,490,124384,124606
202,222,888,123988,124210
654,222,951,123927,124149
2570,3,8035,117065,117068
6713,3,8048,117055,117058
9565,3,8111,116995,116998
9535,3,8178,116931,116934
8935,3,8215,116897,116900
4097,3,8254,116861,116864
7398,3,8356,116762,116765
4849,3,8473,116648,116651
6715,3,8548,116576,116579
9740,3,8555,116572,116575
6876,3,8593,116537,116540
9257,3,8602,116531,116534
6911,3,8641,116495,116498
6626,3,8665,116474,116477
7462,3,8725,116417,116420
3520,3,8787,116358,116361
6557,3,8804,116344,116347
1972,3,8810,116341,116344
6514,3,8946,116208,116211
5234,3,8970,116187,116190
8562,3,9028,116132,116135
1546,3,9138,116025,116028
1923,3,9142,116024,116027
9757,3,9273,115896,115899
4297,3,9319,115853,115856
4508,3,9335,115840,115843
9073,3,9347,115831,115834
2947,3,9354,115827,115830
5336,3,9375,115809,115812
1820,3,9503,115684,115687
5681,3,9538,115652,115655
2740,3,9554,115639,115642
2488,3,9763,115433,115436
7872,3,9769,115430,115433
9409,3,9800,115402,115405
5520,3,9923,115282,115285
390,223,97,124891,125114
859,223,538,124453,124676
115,223,569,124425,124648
983,223,956,124041,124264
7454,4,8014,117206,117210
4414,4,8050,117174,117178
7027,4,8102,117126,117130
4812,4,8118,117114,117118
8938,4,8189,117047,117051
6648,4,8208,117032,117036
6953,4,8220,117024,117028
4865,4,8238,117010,117014
1062,4,8244,117008,117012
4024,4,8416,116840,116844
2416,4,8452,116808,116812
8196,4,8546,116718,116722
9944,4,8561,116707,116711
7488,4,8621,116651,116655
3157,4,8639,116637,116641
9018,4,8676,116604,116608
8966,4,8710,116574,116578
8288,4,8739,116549,116553
2458,4,8878,116414,116418
4546,4,8879,116417,116421
5845,4,8887,116413,116417
5139,4,8896,116408,116412
4158,4,9240,116068,116072
4661,4,9318,115994,115998
9451,4,9457,115859,115863
2542,4,9509,115811,115815
9408,4,9541,115783,115787
9260,4,9629,115699,115703
9070,4,9657,115675,115679
2728,4,9666,115670,115674
7522,4,9666,115674,115678
6745,4,9669,115675,115679
3114,4,9684,115664,115668
5476,4,9692,115660,115664
2414,4,9695,115661,115665
7596,4,9708,115652,115656
4473,4,9760,115604,115608
9218,4,9762,115606,115610
3181,4,9778,115594,115598
1982,4,9808,115568,115572
5879,4,9853,115527,115531
9638,4,9956,115428,115432
9710,4,9973,115415,115419
306,224,130,125042,125266
258,224,373,124803,125027
910,224,482,124698,124922
483,224,520,124664,124888
869,224,524,124664,124888
624,224,969,124223,124447
3841,5,8068,117348,117353
8884,5,8075,117346,117351
9079,5,8085,117341,117346
4754,5,8243,117188,117193
1895,5,8339,117097,117102
2927,5,8345,117096,117101
2698,5,8399,117047,117052
9457,5,8479,116972,116977
7405,5,8566,116890,116895
2067,5,8574,116887,116892
9293,5,8609,116857,116862
1697,5,8730,116741,116746
4517,5,8760,116716,116721
4290,5,8834,116647,116652
9964,5,8911,116575,116580
1751,5,9052,116439,116444
5105,5,9112,116384,116389
3045,5,9148,116353,116358
3865,5,9153,116353,116358
5945,5,9278,116233,116238
2659,5,9424,116092,116097
4666,5,9460,116061,116066
6055,5,9486,116040,116045
4991,5,9514,116017,116022
5640,5,9566,115970,115975
4404,5,9636,115905,115910
2017,5,9797,115749,115754
3558,5,9839,115712,115717
756,225,556,124780,125005
931,225,716,124625,124850
1413,6,8023,117543,117549
1121,6,8074,117498,117504
8076,6,8082,117496,117502
9429,6,8084,117500,117506
5927,6,8244,117346,117352
1714,6,8269,117327,117333
2015,6,8425,117177,117183
6360,6,8464,117144,117150
4680,6,8488,117126,117132
7193,6,8673,116947,116953
1222,6,8753,116873,116879
9367,6,8781,116851,116857
2804,6,8805,116833,116839
7854,6,8808,116836,116842
2434,6,8831,116819,116825
7240,6,8902,116754,116760
8620,6,9221,116441,116447
7873,6,9233,116435,116441
3576,6,9367,116307,116313
4413,6,9496,116184,116190
5084,6,9553,116133,116139
5482,6,9659,116033,116039
4098,6,9687,116011,116017
8011,6,9748,115956,115962
9566,6,9794,115916,115922
9311,6,9891,115825,115831
4970,6,9931,115791,115797
564,226,897,124611,124837
668,226,927,124587,124813
4017,7,8116,117624,117631
1816,7,8145,117602,117609
3390,7,8203,117551,117558
9978,7,8226,117535,117542
9103,7,8261,117507,117514
1323,7,8339,117436,117443
8874,7,8357,117425,117432
8334,7,8421,117368,117375
6440,7,8464,117332,117339
2505,7,8505,117298,117305
2587,7,8531,117279,117286
7346,7,8545,117272,117279
5135,7,8581,117243,117250
3105,7,8710,117121,117128
9302,7,8773,117065,117072
1351,7,8868,116977,116984
4138,7,8988,116864,116871
8027,7,9266,116593,116600
2801,7,9353,116513,116520
1959,7,9354,116519,116526
4752,7,9356,116524,116531
8592,7,9472,116415,116422
1229,7,9508,116386,116393
7416,7,9819,116082,116089
7699,7,9852,116056,116063
6817,7,9967,115948,115955
4612,7,9985,115937,115944
304,227,188,125521,125748
212,227,215,125501,125728
5093,8,8031,117912,117920
6869,8,8033,117918,117926
2744,8,8066,117893,117901
4322,8,8128,117839,117847
7848,8,8203,117772,117780
3549,8,8254,117729,117737
6159,8,8353,117638,117646
2623,8,8360,117639,117647
9372,8,8398,117609,117617
1745,8,8577,117438,117446
7681,8,8612,117411,117419
6001,8,8615,117416,117424
9960,8,8691,117348,117356
4529,8,8825,117222,117230
4623,8,8929,117126,117134
7497,8,8935,117128,117136
7121,8,9051,117020,117028
4621,8,9149,116930,116938
5950,8,9322,116765,116773
3281,8,9339,116756,116764
7075,8,9339,116764,116772
2259,8,9385,116726,116734
2647,8,9436,116683,116691
2994,8,9516,116611,116619
8286,8,9614,116521,116529
9903,8,9718,116425,116433
5742,8,9797,116354,116362
2415,8,9875,116284,116292
2167,8,9896,116271,116279
7665,8,9896,116279,116287
2166,8,9950,116233,116241
398,228,108,125863,126091
237,228,133,125846,126074
342,228,330,125657,125885
918,228,381,125614,125842
170,228,902,125101,125329
9517,9,8044,118187,118196
2786,9,8086,118154,118163
5635,9,8249,118000,118009
8760,9,8255,118003,118012
5565,9,8291,117976,117985
7874,9,8354,117922,117931
7666,9,8417,117868,117877
9871,9,8583,117711,117720
9448,9,8616,117687,117696
9848,9,8736,117576,117585
8047,9,8848,117473,117482
2049,9,8932,117398,117407
2196,9,9138,117201,117210
4411,9,9217,117131,117140
4433,9,9223,117134,117143
9026,9,9268,117098,117107
9489,9,9275,117100,117109
2372,9,9281,117103,117112
1517,9,9348,117045,117054
7692,9,9352,117050,117059
8897,9,9460,116951,116960
9464,9,9534,116886,116895
7086,9,9625,116804,116813
9834,9,9653,116785,116794
9351,9,9676,116771,116780
6820,9,9723,116733,116742
8948,9,9763,116702,116711
8658,9,9855,116619,116628
9275,9,9890,116593,116602
5846,9,9891,116601,116610
1681,9,9967,116534,116543
480,229,103,126187,126416
801,229,275,126024,126253
888,229,382,125926,126155
764,229,605,125712,125941
980,229,788,125538,125767
2369,10,8118,118437,118447
8472,10,8147,118418,118428
3122,10,8172,118403,118413
3347,10,8204,118381,118391
6571,10,8221,118374,118384
7007,10,8230,118375,118385
7323,10,8401,118214,118224
3855,10,8460,118165,118175
